WA,Pacific
OR,Pacific
CA,Pacific
AK,Pacific
HI,Pacific
MT,Mountain
ID,Mountain
WY,Mountain
NV,Mountain
UT,Mountain
CO,Mountain
AZ,Mountain
NM,Mountain
ND,West North Central
SD,West North Central
MN,West North Central
NE,West North Central
IA,West North Central
KS,West North Central
MO,West North Central
OK,West South Central
AR,West South Central
TX,West South Central
LA,West South Central
WI,East North Central
MI,East North Central
IL,East North Central
IN,East North Central
OH,East North Central
KY,East South Central
TN,East South Central
MS,East South Central
AL,East South Central
WV,South Atlantic
DC,South Atlantic
MD,South Atlantic
DE,South Atlantic
VA,South Atlantic
NC,South Atlantic
SC,South Atlantic
GA,South Atlantic
FL,South Atlantic
NY,Middle Atlantic
PA,Middle Atlantic
NJ,Middle Atlantic
CT,New England
RI,New England
MA,New England
VT,New England
NH,New England
ME,New England
